img_1,img_2,label,dir
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0
1.jpg,2.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-2-annotation-2-by-1-tag-deforest-0.png,10001_0
2.jpg,3.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-3-annotation-3-by-1-tag-deforest-0.png,10001_0
3.jpg,4.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-4-annotation-4-by-1-tag-deforest-0.png,10001_0
4.jpg,5.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-5-annotation-5-by-1-tag-deforest-0.png,10001_0
5.jpg,6.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-6-annotation-6-by-1-tag-deforest-0.png,10001_0
6.jpg,7.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-7-annotation-7-by-1-tag-deforest-0.png,10001_0
7.jpg,8.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-8-annotation-8-by-1-tag-deforest-0.png,10001_0
8.jpg,9.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-9-annotation-9-by-1-tag-deforest-0.png,10001_0
9.jpg,10.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-10-annotation-10-by-1-tag-deforest-0.png,10001_0
10.jpg,11.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-11-annotation-11-by-1-tag-deforest-0.png,10001_0
11.jpg,12.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-12-annotation-12-by-1-tag-deforest-0.png,10001_0
12.jpg,13.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-13-annotation-13-by-1-tag-deforest-0.png,10001_0
13.jpg,14.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-14-annotation-14-by-1-tag-deforest-0.png,10001_0
14.jpg,15.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-15-annotation-15-by-1-tag-deforest-0.png,10001_0
15.jpg,16.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-16-annotation-16-by-1-tag-deforest-0.png,10001_0
16.jpg,17.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-17-annotation-17-by-1-tag-deforest-0.png,10001_0
17.jpg,18.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-18-annotation-18-by-1-tag-deforest-0.png,10001_0
18.jpg,19.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-19-annotation-19-by-1-tag-deforest-0.png,10001_0
19.jpg,20.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-20-annotation-20-by-1-tag-deforest-0.png,10001_0
20.jpg,27.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-27-annotation-21-by-1-tag-deforest-0.png,10001_0
27.jpg,28.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-28-annotation-22-by-1-tag-deforest-0.png,10001_0
0.jpg,1.jpg,10001_2\project-5-at-2023-11-11-00-05-2e180986\task-30-annotation-23-by-1-tag-deforest-0.png,10001_2
1.jpg,2.jpg,10001_2\project-5-at-2023-11-11-00-05-2e180986\task-31-annotation-24-by-1-tag-deforest-0.png,10001_2
2.jpg,3.jpg,10001_2\project-5-at-2023-11-11-00-05-2e180986\task-32-annotation-25-by-1-tag-deforest-0.png,10001_2
3.jpg,4.jpg,10001_2\project-5-at-2023-11-11-00-05-2e180986\task-33-annotation-26-by-1-tag-deforest-0.png,10001_2
4.jpg,5.jpg,10001_2\project-5-at-2023-11-11-00-05-2e180986\task-34-annotation-27-by-1-tag-deforest-0.png,10001_2
5.jpg,6.jpg,10001_2\project-5-at-2023-11-11-00-05-2e180986\task-35-annotation-28-by-1-tag-deforest-0.png,10001_2
6.jpg,7.jpg,10001_2\project-5-at-2023-11-11-00-05-2e180986\task-36-annotation-29-by-1-tag-deforest-0.png,10001_2
7.jpg,8.jpg,10001_2\project-5-at-2023-11-11-00-05-2e180986\task-37-annotation-30-by-1-tag-deforest-0.png,10001_2
8.jpg,9.jpg,10001_2\project-5-at-2023-11-11-00-05-2e180986\task-38-annotation-31-by-1-tag-deforest-0.png,10001_2
9.jpg,10.jpg,10001_2\project-5-at-2023-11-11-00-05-2e180986\task-39-annotation-32-by-1-tag-deforest-0.png,10001_2
10.jpg,11.jpg,10001_2\project-5-at-2023-11-11-00-05-2e180986\task-40-annotation-33-by-1-tag-deforest-0.png,10001_2
11.jpg,13.jpg,10001_2\project-5-at-2023-11-11-00-05-2e180986\task-41-annotation-34-by-1-tag-deforest-0.png,10001_2
13.jpg,14.jpg,10001_2\project-5-at-2023-11-11-00-05-2e180986\task-42-annotation-35-by-1-tag-deforest-0.png,10001_2
14.jpg,15.jpg,10001_2\project-5-at-2023-11-11-00-05-2e180986\task-43-annotation-36-by-1-tag-deforest-0.png,10001_2
15.jpg,16.jpg,10001_2\project-5-at-2023-11-11-00-05-2e180986\task-44-annotation-37-by-1-tag-deforest-0.png,10001_2
16.jpg,17.jpg,10001_2\project-5-at-2023-11-11-00-05-2e180986\task-45-annotation-38-by-1-tag-deforest-0.png,10001_2
17.jpg,19.jpg,10001_2\project-5-at-2023-11-11-00-05-2e180986\task-46-annotation-39-by-1-tag-deforest-0.png,10001_2
19.jpg,21.jpg,10001_2\project-5-at-2023-11-11-00-05-2e180986\task-47-annotation-40-by-1-tag-deforest-0.png,10001_2
21.jpg,25.jpg,10001_2\project-5-at-2023-11-11-00-05-2e180986\task-48-annotation-41-by-1-tag-deforest-0.png,10001_2
25.jpg,26.jpg,10001_2\project-5-at-2023-11-11-00-05-2e180986\task-49-annotation-42-by-1-tag-deforest-0.png,10001_2
26.jpg,27.jpg,10001_2\project-5-at-2023-11-11-00-05-2e180986\task-50-annotation-43-by-1-tag-deforest-0.png,10001_2
27.jpg,28.jpg,10001_2\project-5-at-2023-11-11-00-05-2e180986\task-51-annotation-44-by-1-tag-deforest-0.png,10001_2
0.jpg,1.jpg,10002_1\project-6-at-2023-11-11-08-52-63e1f94b\task-52-annotation-45-by-1-tag-deforest-0.png,10002_1
1.jpg,2.jpg,10002_1\project-6-at-2023-11-11-08-52-63e1f94b\task-53-annotation-46-by-1-tag-deforest-0.png,10002_1
2.jpg,3.jpg,10002_1\project-6-at-2023-11-11-08-52-63e1f94b\task-54-annotation-47-by-1-tag-deforest-0.png,10002_1
3.jpg,4.jpg,10002_1\project-6-at-2023-11-11-08-52-63e1f94b\task-55-annotation-48-by-1-tag-deforest-0.png,10002_1
4.jpg,5.jpg,10002_1\project-6-at-2023-11-11-08-52-63e1f94b\task-56-annotation-49-by-1-tag-deforest-0.png,10002_1
5.jpg,6.jpg,10002_1\project-6-at-2023-11-11-08-52-63e1f94b\task-57-annotation-50-by-1-tag-deforest-0.png,10002_1
6.jpg,7.jpg,10002_1\project-6-at-2023-11-11-08-52-63e1f94b\task-58-annotation-51-by-1-tag-deforest-0.png,10002_1
7.jpg,8.jpg,10002_1\project-6-at-2023-11-11-08-52-63e1f94b\task-59-annotation-52-by-1-tag-deforest-0.png,10002_1
8.jpg,11.jpg,10002_1\project-6-at-2023-11-11-08-52-63e1f94b\task-60-annotation-53-by-1-tag-deforest-0.png,10002_1
11.jpg,12.jpg,10002_1\project-6-at-2023-11-11-08-52-63e1f94b\task-61-annotation-54-by-1-tag-deforest-0.png,10002_1
12.jpg,13.jpg,10002_1\project-6-at-2023-11-11-08-52-63e1f94b\task-62-annotation-55-by-1-tag-deforest-0.png,10002_1
13.jpg,14.jpg,10002_1\project-6-at-2023-11-11-08-52-63e1f94b\task-63-annotation-56-by-1-tag-deforest-0.png,10002_1
14.jpg,15.jpg,10002_1\project-6-at-2023-11-11-08-52-63e1f94b\task-64-annotation-57-by-1-tag-deforest-0.png,10002_1
15.jpg,17.jpg,10002_1\project-6-at-2023-11-11-08-52-63e1f94b\task-65-annotation-58-by-1-tag-deforest-0.png,10002_1
17.jpg,18.jpg,10002_1\project-6-at-2023-11-11-08-52-63e1f94b\task-66-annotation-59-by-1-tag-deforest-0.png,10002_1
18.jpg,22.jpg,10002_1\project-6-at-2023-11-11-08-52-63e1f94b\task-67-annotation-60-by-1-tag-deforest-0.png,10002_1
22.jpg,24.jpg,10002_1\project-6-at-2023-11-11-08-52-63e1f94b\task-68-annotation-61-by-1-tag-deforest-0.png,10002_1
24.jpg,25.jpg,10002_1\project-6-at-2023-11-11-08-52-63e1f94b\task-69-annotation-62-by-1-tag-deforest-0.png,10002_1
25.jpg,26.jpg,10002_1\project-6-at-2023-11-11-08-52-63e1f94b\task-70-annotation-63-by-1-tag-deforest-0.png,10002_1
0.jpg,1.jpg,10002_2\project-7-at-2023-11-11-12-09-4cd70db5\task-71-annotation-64-by-1-tag-deforest-0.png,10002_2
1.jpg,2.jpg,10002_2\project-7-at-2023-11-11-12-09-4cd70db5\task-72-annotation-65-by-1-tag-deforest-0.png,10002_2
2.jpg,3.jpg,10002_2\project-7-at-2023-11-11-12-09-4cd70db5\task-73-annotation-66-by-1-tag-deforest-0.png,10002_2
3.jpg,4.jpg,10002_2\project-7-at-2023-11-11-12-09-4cd70db5\task-74-annotation-67-by-1-tag-deforest-0.png,10002_2
4.jpg,6.jpg,10002_2\project-7-at-2023-11-11-12-09-4cd70db5\task-76-annotation-68-by-1-tag-deforest-0.png,10002_2
6.jpg,7.jpg,10002_2\project-7-at-2023-11-11-12-09-4cd70db5\task-77-annotation-69-by-1-tag-deforest-0.png,10002_2
7.jpg,8.jpg,10002_2\project-7-at-2023-11-11-12-09-4cd70db5\task-78-annotation-70-by-1-tag-deforest-0.png,10002_2
8.jpg,10.jpg,10002_2\project-7-at-2023-11-11-12-09-4cd70db5\task-79-annotation-71-by-1-tag-deforest-0.png,10002_2
10.jpg,11.jpg,10002_2\project-7-at-2023-11-11-12-09-4cd70db5\task-80-annotation-72-by-1-tag-deforest-0.png,10002_2
11.jpg,12.jpg,10002_2\project-7-at-2023-11-11-12-09-4cd70db5\task-81-annotation-73-by-1-tag-deforest-0.png,10002_2
12.jpg,13.jpg,10002_2\project-7-at-2023-11-11-12-09-4cd70db5\task-82-annotation-74-by-1-tag-deforest-0.png,10002_2
13.jpg,14.jpg,10002_2\project-7-at-2023-11-11-12-09-4cd70db5\task-83-annotation-75-by-1-tag-deforest-0.png,10002_2
14.jpg,15.jpg,10002_2\project-7-at-2023-11-11-12-09-4cd70db5\task-84-annotation-76-by-1-tag-deforest-0.png,10002_2
15.jpg,17.jpg,10002_2\project-7-at-2023-11-11-12-09-4cd70db5\task-85-annotation-77-by-1-tag-deforest-0.png,10002_2
17.jpg,19.jpg,10002_2\project-7-at-2023-11-11-12-09-4cd70db5\task-86-annotation-78-by-1-tag-deforest-0.png,10002_2
19.jpg,21.jpg,10002_2\project-7-at-2023-11-11-12-09-4cd70db5\task-87-annotation-79-by-1-tag-deforest-0.png,10002_2
21.jpg,22.jpg,10002_2\project-7-at-2023-11-11-12-09-4cd70db5\task-88-annotation-80-by-1-tag-deforest-0.png,10002_2
22.jpg,23.jpg,10002_2\project-7-at-2023-11-11-12-09-4cd70db5\task-89-annotation-81-by-1-tag-deforest-0.png,10002_2
23.jpg,24.jpg,10002_2\project-7-at-2023-11-11-12-09-4cd70db5\task-90-annotation-82-by-1-tag-deforest-0.png,10002_2
24.jpg,25.jpg,10002_2\project-7-at-2023-11-11-12-09-4cd70db5\task-91-annotation-83-by-1-tag-deforest-0.png,10002_2
25.jpg,27.jpg,10002_2\project-7-at-2023-11-11-12-09-4cd70db5\task-93-annotation-85-by-1-tag-deforest-0.png,10002_2
0.jpg,1.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-119-annotation-86-by-1-tag-deforest-0.png,10004_0
1.jpg,3.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-121-annotation-87-by-1-tag-deforest-0.png,10004_0
3.jpg,4.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-122-annotation-88-by-1-tag-deforest-0.png,10004_0
4.jpg,5.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-123-annotation-89-by-1-tag-deforest-0.png,10004_0
5.jpg,6.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-124-annotation-90-by-1-tag-deforest-0.png,10004_0
6.jpg,7.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-125-annotation-91-by-1-tag-deforest-0.png,10004_0
7.jpg,8.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-126-annotation-92-by-1-tag-deforest-0.png,10004_0
8.jpg,9.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-127-annotation-93-by-1-tag-deforest-0.png,10004_0
9.jpg,10.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-128-annotation-94-by-1-tag-deforest-0.png,10004_0
10.jpg,11.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-129-annotation-95-by-1-tag-deforest-0.png,10004_0
11.jpg,12.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-130-annotation-96-by-1-tag-deforest-0.png,10004_0
12.jpg,13.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-131-annotation-97-by-1-tag-deforest-0.png,10004_0
13.jpg,14.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-132-annotation-98-by-1-tag-deforest-0.png,10004_0
14.jpg,15.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-133-annotation-99-by-1-tag-deforest-0.png,10004_0
15.jpg,16.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-134-annotation-100-by-1-tag-deforest-0.png,10004_0
16.jpg,17.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-135-annotation-101-by-1-tag-deforest-0.png,10004_0
17.jpg,18.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-136-annotation-102-by-1-tag-deforest-0.png,10004_0
18.jpg,19.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-137-annotation-103-by-1-tag-deforest-0.png,10004_0
19.jpg,23.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-141-annotation-104-by-1-tag-deforest-0.png,10004_0
23.jpg,24.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-142-annotation-105-by-1-tag-deforest-0.png,10004_0
24.jpg,25.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-143-annotation-106-by-1-tag-deforest-0.png,10004_0
25.jpg,26.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-144-annotation-107-by-1-tag-deforest-0.png,10004_0
26.jpg,27.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-145-annotation-108-by-1-tag-deforest-0.png,10004_0
27.jpg,30.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-148-annotation-109-by-1-tag-deforest-0.png,10004_0
30.jpg,33.jpg,10004_0\project-9-at-2023-11-11-17-22-99f8dc1a\task-151-annotation-110-by-1-tag-deforest-0.png,10004_0
0.jpg,1.jpg,10005_1\project-10-at-2023-11-11-20-30-ad95c418\task-152-annotation-111-by-1-tag-deforest-0.png,10005_1
1.jpg,2.jpg,10005_1\project-10-at-2023-11-11-20-30-ad95c418\task-153-annotation-112-by-1-tag-deforest-0.png,10005_1
2.jpg,3.jpg,10005_1\project-10-at-2023-11-11-20-30-ad95c418\task-154-annotation-113-by-1-tag-deforest-0.png,10005_1
3.jpg,4.jpg,10005_1\project-10-at-2023-11-11-20-30-ad95c418\task-155-annotation-114-by-1-tag-deforest-0.png,10005_1
4.jpg,9.jpg,10005_1\project-10-at-2023-11-11-20-30-ad95c418\task-160-annotation-115-by-1-tag-deforest-0.png,10005_1
9.jpg,13.jpg,10005_1\project-10-at-2023-11-11-20-30-ad95c418\task-164-annotation-116-by-1-tag-deforest-0.png,10005_1
13.jpg,14.jpg,10005_1\project-10-at-2023-11-11-20-30-ad95c418\task-165-annotation-117-by-1-tag-deforest-0.png,10005_1
14.jpg,15.jpg,10005_1\project-10-at-2023-11-11-20-30-ad95c418\task-166-annotation-118-by-1-tag-deforest-0.png,10005_1
